Ontology ID	OccO Label	Abilities
OCCO:13107400	farm labor contractors	oral comprehension| oral expression| speech clarity| speech recognition| problem sensitivity| near vision
OCCO:13107500	labor relations specialists	oral expression| oral comprehension| written comprehension| problem sensitivity| written expression| deductive reasoning
OCCO:13108100	logisticians	written comprehension| problem sensitivity| oral expression| oral comprehension| information ordering| inductive reasoning
OCCO:13108101	logistics engineers	written comprehension| written expression| oral expression| oral comprehension| problem sensitivity| mathematical reasoning
OCCO:13108102	logistics analysts	written comprehension| problem sensitivity| oral comprehension| inductive reasoning| deductive reasoning| oral expression
OCCO:13111100	management analysts	oral comprehension| written comprehension| oral expression| written expression| inductive reasoning| problem sensitivity
OCCO:13112100	"meeting, convention, and event planners"	written expression| written comprehension| speech recognition| oral expression| oral comprehension| problem sensitivity
OCCO:13113100	fundraisers	oral expression| written expression| speech recognition| oral comprehension| written comprehension| speech clarity
OCCO:13114100	"compensation, benefits, and job analysis specialists"	oral expression| written comprehension| oral comprehension| deductive reasoning| speech clarity| problem sensitivity
OCCO:13115100	training and development specialists	oral expression| oral comprehension| written expression| written comprehension| speech clarity| speech recognition
OCCO:13116100	market research analysts and marketing specialists	inductive reasoning| written expression| written comprehension| oral expression| oral comprehension| fluency of ideas
OCCO:13116101	search marketing strategists	oral expression| written comprehension| oral comprehension| written expression| problem sensitivity| information ordering
OCCO:13119904	business continuity planners	problem sensitivity| written expression| oral expression| oral comprehension| inductive reasoning| written comprehension
OCCO:13119905	sustainability specialists	written comprehension| written expression| problem sensitivity| deductive reasoning| oral expression| oral comprehension
OCCO:13119906	online merchants	written comprehension| written expression| problem sensitivity| oral expression| speech recognition| speech clarity
OCCO:13119907	security management specialists	problem sensitivity| oral expression| oral comprehension| deductive reasoning| written expression| written comprehension
OCCO:13203100	budget analysts	written comprehension| oral comprehension| number facility| mathematical reasoning| written expression| inductive reasoning
OCCO:13204100	credit analysts	problem sensitivity| mathematical reasoning| oral expression| oral comprehension| number facility| inductive reasoning
OCCO:13205200	personal financial advisors	written comprehension| oral expression| oral comprehension| inductive reasoning| deductive reasoning| written expression
OCCO:13205300	insurance underwriters	written comprehension| written expression| inductive reasoning| oral expression| oral comprehension| deductive reasoning
OCCO:13206100	financial examiners	written comprehension| problem sensitivity| oral expression| near vision| deductive reasoning| written expression
OCCO:13207100	credit counselors	oral comprehension| written comprehension| oral expression| written expression| problem sensitivity| deductive reasoning
OCCO:13207200	loan officers	oral expression| oral comprehension| speech clarity| written comprehension| speech recognition| problem sensitivity
OCCO:13208100	"tax examiners and collectors, and revenue agents"	written comprehension| problem sensitivity| oral expression| oral comprehension| inductive reasoning| deductive reasoning
OCCO:13208200	tax preparers	oral comprehension| written comprehension| near vision| deductive reasoning| oral expression| mathematical reasoning
OCCO:13209901	financial quantitative analysts	mathematical reasoning| number facility| written comprehension| oral comprehension| inductive reasoning| deductive reasoning
OCCO:13209904	"fraud examiners, investigators and analysts"	written comprehension| written expression| oral expression| inductive reasoning| speech clarity| problem sensitivity
OCCO:15121100	computer systems analysts	oral comprehension| written comprehension| problem sensitivity| deductive reasoning| oral expression| near vision
OCCO:15121200	information security analysts	written comprehension| problem sensitivity| oral comprehension| inductive reasoning| deductive reasoning| written expression
OCCO:15122100	computer and information research scientists	inductive reasoning| deductive reasoning| problem sensitivity| written comprehension| oral expression| oral comprehension
OCCO:15123100	computer network support specialists	problem sensitivity| oral comprehension| deductive reasoning| oral expression| inductive reasoning| written comprehension
OCCO:15123200	computer user support specialists	written comprehension| oral expression| oral comprehension| near vision| speech clarity| information ordering
OCCO:15124100	computer network architects	written comprehension| oral comprehension| information ordering| deductive reasoning| written expression| problem sensitivity
OCCO:15124101	telecommunications engineering specialists	oral comprehension| oral expression| written comprehension| problem sensitivity| near vision| information ordering
OCCO:15124200	database administrators	problem sensitivity| information ordering| deductive reasoning| oral comprehension| inductive reasoning| written comprehension
OCCO:15124300	database architects	deductive reasoning| written comprehension| problem sensitivity| information ordering| oral comprehension| inductive reasoning
OCCO:15124301	data warehousing specialists	written comprehension| information ordering| oral comprehension| inductive reasoning| deductive reasoning| near vision
OCCO:15124400	network and computer systems administrators	problem sensitivity| written comprehension| information ordering| oral expression| inductive reasoning| deductive reasoning
OCCO:15125100	computer programmers	written comprehension| oral comprehension| near vision| problem sensitivity| information ordering| inductive reasoning
OCCO:15125400	web developers	deductive reasoning| oral comprehension| written comprehension| problem sensitivity| near vision| information ordering
OCCO:15125501	video game designers	originality| near vision| fluency of ideas| written comprehension| problem sensitivity| oral expression
OCCO:15129901	web administrators	written comprehension| oral comprehension| problem sensitivity| oral expression| near vision| deductive reasoning
OCCO:15129903	document management specialists	written comprehension| oral comprehension| written expression| oral expression| problem sensitivity| information ordering
OCCO:15129908	computer systems engineers/architects	problem sensitivity| written expression| written comprehension| oral comprehension| originality| oral expression
OCCO:15129909	information technology project managers	written expression| written comprehension| oral expression| oral comprehension| problem sensitivity| speech recognition
OCCO:15201100	actuaries	mathematical reasoning| number facility| deductive reasoning| written comprehension| oral comprehension| near vision
OCCO:15202100	mathematicians	mathematical reasoning| number facility| deductive reasoning| written comprehension| information ordering| inductive reasoning
OCCO:15203100	operations research analysts	mathematical reasoning| written comprehension| number facility| inductive reasoning| oral expression| deductive reasoning
OCCO:15204100	statisticians	mathematical reasoning| number facility| inductive reasoning| deductive reasoning| near vision| information ordering
OCCO:15204101	biostatisticians	mathematical reasoning| written comprehension| inductive reasoning| deductive reasoning| oral expression| oral comprehension
OCCO:15205101	business intelligence analysts	written comprehension| deductive reasoning| oral expression| oral comprehension| inductive reasoning| speech recognition
OCCO:15205102	clinical data managers	information ordering| deductive reasoning| written comprehension| oral expression| oral comprehension| written expression
OCCO:15209901	bioinformatics technicians	written comprehension| oral comprehension| inductive reasoning| deductive reasoning| written expression| mathematical reasoning
OCCO:17101100	"architects, except landscape and naval"	visualization| fluency of ideas| written comprehension| problem sensitivity| originality| oral expression
OCCO:17101200	landscape architects	oral expression| oral comprehension| written comprehension| visualization| written expression| problem sensitivity
OCCO:17102100	cartographers and photogrammetrists	written comprehension| oral comprehension| near vision| inductive reasoning| written expression| oral expression
OCCO:17102200	surveyors	written comprehension| mathematical reasoning| deductive reasoning| speech recognition| speech clarity| oral expression
OCCO:17102201	geodetic surveyors	mathematical reasoning| written comprehension| oral expression| oral comprehension| number facility| information ordering
OCCO:17201100	aerospace engineers	written comprehension| problem sensitivity| information ordering| inductive reasoning| deductive reasoning| written expression
OCCO:17202100	agricultural engineers	written comprehension| oral comprehension| inductive reasoning| problem sensitivity| oral expression| deductive reasoning
OCCO:17204100	chemical engineers	written comprehension| problem sensitivity| oral comprehension| mathematical reasoning| information ordering| deductive reasoning
OCCO:17205100	civil engineers	problem sensitivity| oral expression| oral comprehension| information ordering| inductive reasoning| deductive reasoning
OCCO:17205101	transportation engineers	deductive reasoning| written expression| written comprehension| problem sensitivity| oral expression| oral comprehension
OCCO:17205102	water/wastewater engineers	written comprehension| problem sensitivity| oral expression| oral comprehension| deductive reasoning| written expression
OCCO:17206100	computer hardware engineers	written comprehension| problem sensitivity| oral comprehension| inductive reasoning| deductive reasoning| oral expression
OCCO:17207100	electrical engineers	written comprehension| problem sensitivity| oral comprehension| deductive reasoning| written expression| information ordering
OCCO:17207200	"electronics engineers, except computer"	written comprehension| problem sensitivity| oral expression| oral comprehension| inductive reasoning| deductive reasoning
OCCO:17207201	radio frequency identification device specialists	problem sensitivity| oral comprehension| deductive reasoning| written comprehension| inductive reasoning| oral expression
OCCO:17208100	environmental engineers	written comprehension| problem sensitivity| oral comprehension| written expression| oral expression| deductive reasoning
OCCO:17211102	fire-prevention and protection engineers	problem sensitivity| inductive reasoning| deductive reasoning| oral expression| written comprehension| oral comprehension
OCCO:17211200	industrial engineers	written comprehension| oral comprehension| problem sensitivity| oral expression| written expression| near vision
OCCO:17211201	human factors engineers and ergonomists	written comprehension| inductive reasoning| deductive reasoning| written expression| problem sensitivity| information ordering
OCCO:17211202	validation engineers	written expression| written comprehension| deductive reasoning| problem sensitivity| oral expression| oral comprehension
OCCO:17211203	manufacturing engineers	visualization| problem sensitivity| oral comprehension| near vision| inductive reasoning| deductive reasoning
OCCO:17213100	materials engineers	written comprehension| problem sensitivity| oral comprehension| inductive reasoning| deductive reasoning| written expression
OCCO:17214100	mechanical engineers	written comprehension| oral comprehension| information ordering| problem sensitivity| mathematical reasoning| inductive reasoning
OCCO:17214101	fuel cell engineers	written comprehension| written expression| problem sensitivity| oral comprehension| mathematical reasoning| inductive reasoning
OCCO:17214102	automotive engineers	written comprehension| oral expression| oral comprehension| inductive reasoning| deductive reasoning| problem sensitivity
OCCO:17215100	"mining and geological engineers, including mining safety engineers"	written expression| written comprehension| problem sensitivity| oral expression| oral comprehension| information ordering
OCCO:17216100	nuclear engineers	problem sensitivity| written comprehension| oral expression| oral comprehension| written expression| information ordering
OCCO:17217100	petroleum engineers	written comprehension| oral expression| oral comprehension| written expression| problem sensitivity| inductive reasoning
OCCO:17219905	mechatronics engineers	oral comprehension| written expression| problem sensitivity| oral expression| inductive reasoning| deductive reasoning
OCCO:17219906	microsystems engineers	written comprehension| oral comprehension| oral expression| inductive reasoning| deductive reasoning| written expression
