Ontology ID	OccO Label	Skills
OCCO:13104107	regulatory affairs specialists	Reading Comprehension|Writing|Critical Thinking|Speaking|Systems Analysis|Judgment and Decision Making
OCCO:13104108	customs brokers	Reading Comprehension|Active Listening|Complex Problem Solving|Writing|Speaking|Critical Thinking
OCCO:13105100	cost estimators	Mathematics|Reading Comprehension|Critical Thinking|Speaking|Judgment and Decision Making|Active Listening
OCCO:13107100	human resources specialists	Speaking|Active Listening|Reading Comprehension|Critical Thinking|Writing|Coordination
OCCO:13107400	farm labor contractors	Speaking|Active Listening|Management of Personnel Resources|Time Management|Social Perceptiveness|Judgment and Decision Making
OCCO:13107500	labor relations specialists	Active Listening|Speaking|Reading Comprehension|Negotiation|Writing|Persuasion
OCCO:13108100	logisticians	Critical Thinking|Speaking|Reading Comprehension|Monitoring|Coordination|Active Listening
OCCO:13108101	logistics engineers	Reading Comprehension|Systems Analysis|Systems Evaluation|Critical Thinking|Judgment and Decision Making|Complex Problem Solving
OCCO:13108102	logistics analysts	Reading Comprehension|Critical Thinking|Complex Problem Solving|Systems Evaluation|Systems Analysis|Speaking
OCCO:13111100	management analysts	Reading Comprehension|Critical Thinking|Active Listening|Writing|Systems Evaluation|Speaking
OCCO:13112100	"meeting, convention, and event planners"	Speaking|Reading Comprehension|Active Listening|Social Perceptiveness|Service Orientation|Critical Thinking
OCCO:13113100	fundraisers	Speaking|Writing|Persuasion|Active Listening|Critical Thinking|Social Perceptiveness
OCCO:13114100	"compensation, benefits, and job analysis specialists"	Active Listening|Critical Thinking|Speaking|Reading Comprehension|Writing|Systems Analysis
OCCO:13115100	training and development specialists	Learning Strategies|Instructing|Speaking|Active Listening|Social Perceptiveness|Reading Comprehension
OCCO:13116100	market research analysts and marketing specialists	Reading Comprehension|Active Listening|Complex Problem Solving|Writing|Speaking|Judgment and Decision Making
OCCO:13116101	search marketing strategists	Speaking|Reading Comprehension|Complex Problem Solving|Critical Thinking|Active Listening|Active Learning
OCCO:13119904	business continuity planners	Critical Thinking|Complex Problem Solving|Writing|Systems Analysis|Judgment and Decision Making|Speaking
OCCO:13119905	sustainability specialists	Reading Comprehension|Speaking|Complex Problem Solving|Active Listening|Writing|Monitoring
OCCO:13119906	online merchants	Reading Comprehension|Speaking|Critical Thinking|Active Listening|Writing|Service Orientation
OCCO:13119907	security management specialists	Critical Thinking|Speaking|Active Listening|Reading Comprehension|Judgment and Decision Making|Writing
OCCO:13203100	budget analysts	Active Listening|Reading Comprehension|Speaking|Mathematics|Critical Thinking|Complex Problem Solving
OCCO:13204100	credit analysts	Critical Thinking|Active Learning|Speaking|Reading Comprehension|Judgment and Decision Making|Active Listening
OCCO:13205200	personal financial advisors	Speaking|Reading Comprehension|Judgment and Decision Making|Critical Thinking|Active Listening|Service Orientation
OCCO:13205300	insurance underwriters	Reading Comprehension|Judgment and Decision Making|Active Listening|Speaking|Critical Thinking|Writing
OCCO:13206100	financial examiners	Reading Comprehension|Critical Thinking|Active Listening|Writing|Speaking|Management of Personnel Resources
OCCO:13207100	credit counselors	Writing|Speaking|Active Listening|Reading Comprehension|Critical Thinking|Service Orientation
OCCO:13207200	loan officers	Speaking|Active Listening|Reading Comprehension|Judgment and Decision Making|Critical Thinking|Service Orientation
OCCO:13208100	"tax examiners and collectors, and revenue agents"	Reading Comprehension|Active Listening|Speaking|Critical Thinking|Writing|Active Learning
OCCO:13208200	tax preparers	Reading Comprehension|Active Listening|Critical Thinking|Speaking|Writing|Mathematics
OCCO:13209904	"fraud examiners, investigators and analysts"	Writing|Speaking|Reading Comprehension|Critical Thinking|Active Listening|Judgment and Decision Making
OCCO:15121100	computer systems analysts	Critical Thinking|Systems Analysis|Speaking|Reading Comprehension|Active Listening|Writing
OCCO:15121200	information security analysts	Reading Comprehension|Critical Thinking|Complex Problem Solving|Speaking|Writing|Active Listening
OCCO:15122100	computer and information research scientists	Complex Problem Solving|Systems Evaluation|Systems Analysis|Critical Thinking|Judgment and Decision Making|Time Management
OCCO:15123100	computer network support specialists	Critical Thinking|Active Listening|Reading Comprehension|Judgment and Decision Making|Speaking|Monitoring
OCCO:15123200	computer user support specialists	Speaking|Active Listening|Reading Comprehension|Critical Thinking|Writing|Complex Problem Solving
OCCO:15124100	computer network architects	Systems Analysis|Operations Analysis|Active Listening|Complex Problem Solving|Active Learning|Systems Evaluation
OCCO:15124101	telecommunications engineering specialists	Active Listening|Critical Thinking|Reading Comprehension|Speaking|Active Learning|Writing
OCCO:15124200	database administrators	Critical Thinking|Complex Problem Solving|Reading Comprehension|Judgment and Decision Making|Active Listening|Active Learning
OCCO:15124300	database architects	Critical Thinking|Reading Comprehension|Judgment and Decision Making|Systems Analysis|Speaking|Complex Problem Solving
OCCO:15124400	network and computer systems administrators	Systems Analysis|Reading Comprehension|Critical Thinking|Systems Evaluation|Monitoring|Judgment and Decision Making
OCCO:15125100	computer programmers	Programming|Reading Comprehension|Critical Thinking|Complex Problem Solving|Quality Control Analysis|Active Listening
OCCO:15125400	web developers	Programming|Critical Thinking|Operations Analysis|Reading Comprehension|Complex Problem Solving|Active Listening
OCCO:15125501	video game designers	Programming|Active Listening|Reading Comprehension|Critical Thinking|Complex Problem Solving|Time Management
OCCO:15129901	web administrators	Critical Thinking|Reading Comprehension|Complex Problem Solving|Active Listening|Writing|Judgment and Decision Making
OCCO:15129903	document management specialists	Reading Comprehension|Monitoring|Active Listening|Writing|Critical Thinking|Systems Analysis
OCCO:15129908	computer systems engineers/architects	Critical Thinking|Active Listening|Reading Comprehension|Complex Problem Solving|Writing|Speaking
OCCO:15129909	information technology project managers	Critical Thinking|Time Management|Speaking|Reading Comprehension|Monitoring|Coordination
OCCO:15201100	actuaries	Mathematics|Judgment and Decision Making|Critical Thinking|Reading Comprehension|Complex Problem Solving|Systems Evaluation
OCCO:15202100	mathematicians	Mathematics|Reading Comprehension|Critical Thinking|Complex Problem Solving|Active Learning|Writing
OCCO:15203100	operations research analysts	Mathematics|Complex Problem Solving|Critical Thinking|Writing|Systems Evaluation|Reading Comprehension
OCCO:15204100	statisticians	Mathematics|Reading Comprehension|Critical Thinking|Active Listening|Active Learning|Complex Problem Solving
OCCO:15204101	biostatisticians	Mathematics|Reading Comprehension|Critical Thinking|Science|Complex Problem Solving|Writing
OCCO:15205101	business intelligence analysts	Critical Thinking|Reading Comprehension|Active Listening|Speaking|Active Learning|Judgment and Decision Making
OCCO:15205102	clinical data managers	Critical Thinking|Speaking|Reading Comprehension|Active Listening|Writing|Monitoring
