Ontology ID	OccO Label	Skills
OCCO:25106100	"anthropology and archeology teachers, postsecondary"	Speaking|Reading Comprehension|Writing|Learning Strategies|Instructing|Critical Thinking
OCCO:25106200	"area, ethnic, and cultural studies teachers, postsecondary"	Speaking|Reading Comprehension|Active Listening|Instructing|Critical Thinking|Active Learning
OCCO:25106300	"economics teachers, postsecondary"	Speaking|Reading Comprehension|Instructing|Active Listening|Writing|Critical Thinking
OCCO:25106400	"geography teachers, postsecondary"	Speaking|Instructing|Writing|Reading Comprehension|Learning Strategies|Critical Thinking
OCCO:25106500	"political science teachers, postsecondary"	Speaking|Writing|Reading Comprehension|Instructing|Critical Thinking|Active Listening
OCCO:25106600	"psychology teachers, postsecondary"	Speaking|Writing|Reading Comprehension|Learning Strategies|Instructing|Critical Thinking
OCCO:25106700	"sociology teachers, postsecondary"	Speaking|Reading Comprehension|Writing|Instructing|Active Listening|Learning Strategies
OCCO:25107100	"health specialties teachers, postsecondary"	Speaking|Reading Comprehension|Instructing|Writing|Learning Strategies|Critical Thinking
OCCO:25107200	"nursing instructors and teachers, postsecondary"	Speaking|Instructing|Writing|Reading Comprehension|Learning Strategies|Critical Thinking
OCCO:25108100	"education teachers, postsecondary"	Speaking|Writing|Reading Comprehension|Learning Strategies|Instructing|Active Listening
OCCO:25108200	"library science teachers, postsecondary"	Speaking|Reading Comprehension|Instructing|Writing|Critical Thinking|Active Listening
OCCO:25111100	"criminal justice and law enforcement teachers, postsecondary"	Speaking|Critical Thinking|Writing|Reading Comprehension|Learning Strategies|Instructing
OCCO:25111200	"law teachers, postsecondary"	Speaking|Reading Comprehension|Learning Strategies|Instructing|Active Listening|Writing
OCCO:25111300	"social work teachers, postsecondary"	Instructing|Speaking|Reading Comprehension|Learning Strategies|Writing|Critical Thinking
OCCO:25112100	"art, drama, and music teachers, postsecondary"	Speaking|Instructing|Time Management|Reading Comprehension|Learning Strategies|Active Listening
OCCO:25112200	"communications teachers, postsecondary"	Speaking|Instructing|Writing|Reading Comprehension|Learning Strategies|Critical Thinking
OCCO:25112300	"english language and literature teachers, postsecondary"	Reading Comprehension|Instructing|Speaking|Writing|Active Listening|Learning Strategies
OCCO:25112400	"foreign language and literature teachers, postsecondary"	Speaking|Reading Comprehension|Instructing|Writing|Active Listening|Learning Strategies
OCCO:25112500	"history teachers, postsecondary"	Speaking|Reading Comprehension|Writing|Learning Strategies|Instructing|Critical Thinking
OCCO:25112600	"philosophy and religion teachers, postsecondary"	Instructing|Writing|Speaking|Reading Comprehension|Critical Thinking|Active Listening
OCCO:25119300	"recreation and fitness studies teachers, postsecondary"	Speaking|Instructing|Reading Comprehension|Learning Strategies|Writing|Active Listening
OCCO:25201100	"preschool teachers, except special education"	Speaking|Learning Strategies|Instructing|Social Perceptiveness|Coordination|Active Listening
OCCO:25201200	"kindergarten teachers, except special education"	Instructing|Speaking|Social Perceptiveness|Active Listening|Monitoring|Learning Strategies
OCCO:25202100	"elementary school teachers, except special education"	Speaking|Instructing|Learning Strategies|Active Listening|Social Perceptiveness|Monitoring
OCCO:25202200	"middle school teachers, except special and career/technical education"	Speaking|Instructing|Active Listening|Reading Comprehension|Writing|Social Perceptiveness
OCCO:25202300	"career/technical education teachers, middle school"	Instructing|Speaking|Reading Comprehension|Monitoring|Learning Strategies|Critical Thinking
OCCO:25203100	"secondary school teachers, except special and career/technical education"	Learning Strategies|Instructing|Speaking|Active Listening|Critical Thinking|Coordination
OCCO:25203200	"career/technical education teachers, secondary school"	Instructing|Writing|Speaking|Reading Comprehension|Active Listening|Monitoring
OCCO:25205700	"special education teachers, middle school"	Instructing|Speaking|Active Listening|Reading Comprehension|Time Management|Social Perceptiveness
OCCO:25205800	"special education teachers, secondary school"	Learning Strategies|Instructing|Speaking|Service Orientation|Monitoring|Active Listening
OCCO:25205901	adapted physical education specialists	Service Orientation|Instructing|Active Listening|Speaking|Social Perceptiveness|Reading Comprehension
OCCO:25304100	tutors	Instructing|Learning Strategies|Active Listening|Speaking|Reading Comprehension|Social Perceptiveness
OCCO:25401100	archivists	Reading Comprehension|Writing|Active Listening|Judgment and Decision Making|Critical Thinking|Active Learning
OCCO:25401200	curators	Speaking|Reading Comprehension|Writing|Active Listening|Critical Thinking|Time Management
OCCO:25401300	museum technicians and conservators	Active Listening|Speaking|Reading Comprehension|Writing|Monitoring|Critical Thinking
OCCO:25403100	library technicians	Speaking|Reading Comprehension|Service Orientation|Active Listening|Social Perceptiveness|Critical Thinking
OCCO:25903100	instructional coordinators	Reading Comprehension|Speaking|Writing|Learning Strategies|Monitoring|Active Listening
OCCO:27101100	art directors	Speaking|Active Listening|Time Management|Judgment and Decision Making|Reading Comprehension|Critical Thinking
OCCO:27101200	craft artists	Speaking|Social Perceptiveness|Reading Comprehension|Active Listening|Persuasion|Monitoring
OCCO:27101300	"fine artists, including painters, sculptors, and illustrators"	Active Learning|Judgment and Decision Making|Critical Thinking|Active Listening|Social Perceptiveness|Complex Problem Solving
OCCO:27102100	commercial and industrial designers	Critical Thinking|Active Listening|Speaking|Reading Comprehension|Complex Problem Solving|Operations Analysis
OCCO:27102200	fashion designers	Critical Thinking|Active Listening|Speaking|Social Perceptiveness|Judgment and Decision Making|Coordination
OCCO:27102300	floral designers	Active Listening|Speaking|Social Perceptiveness|Service Orientation|Time Management|Critical Thinking
OCCO:27102400	graphic designers	Active Listening|Speaking|Critical Thinking|Reading Comprehension|Time Management|Social Perceptiveness
OCCO:27102500	interior designers	Active Listening|Speaking|Reading Comprehension|Social Perceptiveness|Service Orientation|Writing
OCCO:27102600	merchandise displayers and window trimmers	Active Listening|Speaking|Critical Thinking|Judgment and Decision Making|Time Management|Social Perceptiveness
OCCO:27102700	set and exhibit designers	Reading Comprehension|Critical Thinking|Active Listening|Coordination|Time Management|Operations Analysis
OCCO:27201100	actors	Speaking|Social Perceptiveness|Reading Comprehension|Active Listening|Monitoring|Critical Thinking
OCCO:27201204	talent directors	Speaking|Reading Comprehension|Active Listening|Social Perceptiveness|Time Management|Monitoring
OCCO:27202100	athletes and sports competitors	Speaking|Critical Thinking|Active Listening|Coordination|Monitoring|Judgment and Decision Making
OCCO:27202200	coaches and scouts	Instructing|Speaking|Monitoring|Management of Personnel Resources|Learning Strategies|Judgment and Decision Making
OCCO:27202300	"umpires, referees, and other sports officials"	Speaking|Critical Thinking|Judgment and Decision Making|Time Management|Social Perceptiveness|Monitoring
OCCO:27203100	dancers	Active Listening|Coordination|Speaking|Service Orientation|Learning Strategies|Instructing
OCCO:27203200	choreographers	Speaking|Active Listening|Instructing|Coordination|Time Management|Monitoring
OCCO:27303100	public relations specialists	Speaking|Active Listening|Writing|Time Management|Social Perceptiveness|Coordination
OCCO:27304100	editors	Reading Comprehension|Writing|Quality Control Analysis|Critical Thinking|Active Listening|Speaking
OCCO:27304200	technical writers	Writing|Reading Comprehension|Speaking|Active Listening|Critical Thinking|Active Learning
OCCO:27304305	"poets, lyricists and creative writers"	Writing|Reading Comprehension|Critical Thinking|Judgment and Decision Making|Active Listening|Active Learning
OCCO:27309100	interpreters and translators	Speaking|Active Listening|Reading Comprehension|Writing|Critical Thinking|Monitoring
OCCO:27401200	broadcast technicians	Critical Thinking|Operation Monitoring|Monitoring|Active Listening|Speaking|Writing
OCCO:27401400	sound engineering technicians	Speaking|Active Listening|Reading Comprehension|Critical Thinking|Monitoring|Writing
OCCO:27402100	photographers	Active Listening|Speaking|Social Perceptiveness|Service Orientation|Time Management|Reading Comprehension
OCCO:27403200	film and video editors	Active Listening|Reading Comprehension|Critical Thinking|Time Management|Speaking|Judgment and Decision Making
OCCO:29101100	chiropractors	Active Listening|Speaking|Reading Comprehension|Critical Thinking|Writing|Social Perceptiveness
OCCO:29102100	"dentists, general"	Judgment and Decision Making|Critical Thinking|Speaking|Reading Comprehension|Monitoring|Complex Problem Solving
OCCO:29102200	oral and maxillofacial surgeons	Judgment and Decision Making|Complex Problem Solving|Reading Comprehension|Critical Thinking|Speaking|Monitoring
OCCO:29102300	orthodontists	Speaking|Critical Thinking|Active Listening|Social Perceptiveness|Judgment and Decision Making|Complex Problem Solving
OCCO:29102400	prosthodontists	Speaking|Active Listening|Social Perceptiveness|Critical Thinking|Complex Problem Solving|Reading Comprehension
OCCO:29103100	dietitians and nutritionists	Reading Comprehension|Speaking|Monitoring|Critical Thinking|Active Listening|Writing
OCCO:29104100	optometrists	Critical Thinking|Active Listening|Speaking|Science|Writing|Reading Comprehension
OCCO:29105100	pharmacists	Reading Comprehension|Active Listening|Writing|Speaking|Service Orientation|Monitoring
OCCO:29107100	physician assistants	Speaking|Reading Comprehension|Critical Thinking|Active Listening|Social Perceptiveness|Service Orientation
OCCO:29107101	anesthesiologist assistants	Active Listening|Reading Comprehension|Monitoring|Speaking|Judgment and Decision Making|Critical Thinking
OCCO:29108100	podiatrists	Speaking|Reading Comprehension|Critical Thinking|Active Listening|Judgment and Decision Making|Active Learning
OCCO:29112200	occupational therapists	Service Orientation|Monitoring|Speaking|Social Perceptiveness|Reading Comprehension|Judgment and Decision Making
OCCO:29112201	"low vision therapists, orientation and mobility specialists, and vision rehabilitation therapists"	Active Listening|Speaking|Writing|Social Perceptiveness|Service Orientation|Monitoring
OCCO:29112300	physical therapists	Reading Comprehension|Speaking|Critical Thinking|Social Perceptiveness|Service Orientation|Monitoring
OCCO:29112400	radiation therapists	Reading Comprehension|Active Listening|Critical Thinking|Social Perceptiveness|Operation Monitoring|Speaking
OCCO:29112500	recreational therapists	Social Perceptiveness|Service Orientation|Speaking|Coordination|Active Listening|Reading Comprehension
OCCO:29112600	respiratory therapists	Monitoring|Critical Thinking|Active Listening|Speaking|Social Perceptiveness|Service Orientation
OCCO:29112700	speech-language pathologists	Active Listening|Speaking|Social Perceptiveness|Reading Comprehension|Learning Strategies|Critical Thinking
OCCO:29112800	exercise physiologists	Speaking|Reading Comprehension|Critical Thinking|Active Listening|Writing|Service Orientation
OCCO:29112901	art therapists	Social Perceptiveness|Speaking|Active Listening|Judgment and Decision Making|Critical Thinking|Service Orientation
OCCO:29112902	music therapists	Social Perceptiveness|Active Listening|Speaking|Service Orientation|Reading Comprehension|Critical Thinking
OCCO:29113100	veterinarians	Science|Speaking|Reading Comprehension|Critical Thinking|Complex Problem Solving|Judgment and Decision Making
OCCO:29114100	registered nurses	Social Perceptiveness|Active Listening|Speaking|Service Orientation|Reading Comprehension|Critical Thinking
OCCO:29114101	acute care nurses	Speaking|Social Perceptiveness|Service Orientation|Reading Comprehension|Monitoring|Critical Thinking
OCCO:29114102	advanced practice psychiatric nurses	Social Perceptiveness|Active Listening|Speaking|Reading Comprehension|Critical Thinking|Writing
OCCO:29114103	critical care nurses	Service Orientation|Active Listening|Speaking|Social Perceptiveness|Reading Comprehension|Monitoring
OCCO:29114104	clinical nurse specialists	Speaking|Social Perceptiveness|Service Orientation|Reading Comprehension|Critical Thinking|Coordination
OCCO:29115100	nurse anesthetists	Reading Comprehension|Critical Thinking|Speaking|Monitoring|Active Listening|Active Learning
OCCO:29116100	nurse midwives	Speaking|Social Perceptiveness|Critical Thinking|Active Listening|Active Learning|Service Orientation
OCCO:29117100	nurse practitioners	Speaking|Social Perceptiveness|Reading Comprehension|Critical Thinking|Active Listening|Active Learning
OCCO:29118100	audiologists	Speaking|Reading Comprehension|Critical Thinking|Active Listening|Active Learning|Writing
OCCO:29121100	anesthesiologists	Critical Thinking|Monitoring|Judgment and Decision Making|Active Listening|Writing|Science
OCCO:29121300	dermatologists	Critical Thinking|Active Listening|Reading Comprehension|Service Orientation|Speaking|Active Learning
OCCO:29121700	neurologists	Active Listening|Speaking|Social Perceptiveness|Reading Comprehension|Critical Thinking|Complex Problem Solving
OCCO:29121800	obstetricians and gynecologists	Critical Thinking|Speaking|Reading Comprehension|Active Listening|Writing|Science
OCCO:29122100	"pediatricians, general"	Critical Thinking|Active Listening|Speaking|Judgment and Decision Making|Social Perceptiveness|Science
OCCO:29122300	psychiatrists	Active Listening|Social Perceptiveness|Speaking|Critical Thinking|Writing|Reading Comprehension
OCCO:29122400	radiologists	Writing|Reading Comprehension|Critical Thinking|Active Listening|Speaking|Judgment and Decision Making
OCCO:29122901	allergists and immunologists	Reading Comprehension|Speaking|Active Listening|Monitoring|Judgment and Decision Making|Critical Thinking
OCCO:29122902	hospitalists	Social Perceptiveness|Service Orientation|Critical Thinking|Active Listening|Speaking|Reading Comprehension
OCCO:29122903	urologists	Writing|Reading Comprehension|Judgment and Decision Making|Active Listening|Critical Thinking|Complex Problem Solving
OCCO:29122904	physical medicine and rehabilitation physicians	Critical Thinking|Speaking|Social Perceptiveness|Reading Comprehension|Active Listening|Judgment and Decision Making
OCCO:29122905	preventive medicine physicians	Reading Comprehension|Critical Thinking|Active Listening|Active Learning|Writing|Speaking
OCCO:29122906	sports medicine physicians	Reading Comprehension|Active Listening|Critical Thinking|Monitoring|Judgment and Decision Making|Speaking
OCCO:29129100	acupuncturists	Critical Thinking|Active Listening|Social Perceptiveness|Service Orientation|Speaking|Judgment and Decision Making
OCCO:29129200	dental hygienists	Speaking|Active Listening|Critical Thinking|Writing|Social Perceptiveness|Service Orientation
OCCO:29129901	naturopathic physicians	Speaking|Social Perceptiveness|Reading Comprehension|Critical Thinking|Active Listening|Judgment and Decision Making
OCCO:29129902	orthoptists	Science|Critical Thinking|Speaking|Social Perceptiveness|Active Listening|Reading Comprehension
OCCO:29201100	medical and clinical laboratory technologists	Reading Comprehension|Critical Thinking|Active Listening|Science|Operation Monitoring|Speaking
OCCO:29201101	cytogenetic technologists	Reading Comprehension|Critical Thinking|Active Listening|Writing|Speaking|Judgment and Decision Making
OCCO:29201102	cytotechnologists	Critical Thinking|Reading Comprehension|Active Listening|Active Learning|Speaking|Science
OCCO:29201200	medical and clinical laboratory technicians	Active Listening|Reading Comprehension|Speaking|Critical Thinking|Science|Writing
OCCO:29203100	cardiovascular technologists and technicians	Active Listening|Speaking|Operation Monitoring|Monitoring|Critical Thinking|Social Perceptiveness
OCCO:29203200	diagnostic medical sonographers	Active Listening|Speaking|Social Perceptiveness|Reading Comprehension|Monitoring|Critical Thinking
OCCO:29203300	nuclear medicine technologists	Critical Thinking|Speaking|Active Listening|Writing|Reading Comprehension|Monitoring
OCCO:29203500	magnetic resonance imaging technologists	Active Listening|Reading Comprehension|Operation Monitoring|Speaking|Monitoring|Writing
OCCO:29205100	dietetic technicians	Speaking|Reading Comprehension|Monitoring|Service Orientation|Critical Thinking|Active Listening
OCCO:29205200	pharmacy technicians	Reading Comprehension|Active Listening|Speaking|Critical Thinking|Time Management|Social Perceptiveness
OCCO:29205300	psychiatric technicians	Social Perceptiveness|Speaking|Monitoring|Active Listening|Reading Comprehension|Critical Thinking
OCCO:29205500	surgical technologists	Monitoring|Active Listening|Operation Monitoring|Time Management|Speaking|Critical Thinking
OCCO:29205600	veterinary technologists and technicians	Critical Thinking|Active Listening|Speaking|Reading Comprehension|Monitoring|Judgment and Decision Making
OCCO:29205700	ophthalmic medical technicians	Active Listening|Speaking|Social Perceptiveness|Service Orientation|Reading Comprehension|Coordination
OCCO:29206100	licensed practical and licensed vocational nurses	Service Orientation|Time Management|Speaking|Social Perceptiveness|Reading Comprehension|Monitoring
OCCO:29208100	"opticians, dispensing"	Speaking|Active Listening|Reading Comprehension|Service Orientation|Critical Thinking|Writing
OCCO:29209100	orthotists and prosthetists	Speaking|Service Orientation|Reading Comprehension|Critical Thinking|Active Listening|Writing
OCCO:29209200	hearing aid specialists	Active Listening|Service Orientation|Instructing|Speaking|Judgment and Decision Making|Social Perceptiveness
OCCO:29209901	neurodiagnostic technologists	Critical Thinking|Speaking|Active Listening|Monitoring|Reading Comprehension|Writing
OCCO:29209905	ophthalmic medical technologists	Speaking|Active Listening|Social Perceptiveness|Service Orientation|Reading Comprehension|Critical Thinking
OCCO:29209908	patient representatives	Active Listening|Social Perceptiveness|Service Orientation|Speaking|Critical Thinking|Reading Comprehension
OCCO:29909100	athletic trainers	Monitoring|Critical Thinking|Active Listening|Speaking|Writing|Social Perceptiveness
OCCO:29909200	genetic counselors	Reading Comprehension|Complex Problem Solving|Active Listening|Writing|Speaking|Social Perceptiveness
OCCO:29909300	surgical assistants	Active Listening|Speaking|Reading Comprehension|Monitoring|Critical Thinking|Service Orientation
OCCO:29909901	midwives	Critical Thinking|Speaking|Social Perceptiveness|Judgment and Decision Making|Active Listening|Monitoring
OCCO:31112100	home health aides	Active Listening|Service Orientation|Social Perceptiveness|Critical Thinking|Reading Comprehension|Monitoring
OCCO:31112200	personal care aides	Service Orientation|Social Perceptiveness|Active Listening|Speaking|Monitoring|Time Management
OCCO:31113100	nursing assistants	Service Orientation|Social Perceptiveness|Active Listening|Speaking|Monitoring|Coordination
OCCO:31113200	orderlies	Social Perceptiveness|Service Orientation|Active Listening|Speaking|Coordination|Critical Thinking
OCCO:31113300	psychiatric aides	Social Perceptiveness|Service Orientation|Speaking|Monitoring|Active Listening|Coordination
OCCO:31201100	occupational therapy assistants	Active Listening|Speaking|Writing|Time Management|Social Perceptiveness|Reading Comprehension
OCCO:31201200	occupational therapy aides	Speaking|Service Orientation|Active Listening|Social Perceptiveness|Writing|Critical Thinking
OCCO:31202100	physical therapist assistants	Active Listening|Speaking|Social Perceptiveness|Monitoring|Service Orientation|Reading Comprehension
OCCO:31202200	physical therapist aides	Active Listening|Social Perceptiveness|Speaking|Service Orientation|Monitoring|Coordination
OCCO:31901100	massage therapists	Active Listening|Speaking|Social Perceptiveness|Service Orientation|Writing|Judgment and Decision Making
OCCO:31909100	dental assistants	Active Listening|Speaking|Reading Comprehension|Service Orientation|Critical Thinking|Social Perceptiveness
OCCO:31909200	medical assistants	Speaking|Social Perceptiveness|Reading Comprehension|Active Listening|Monitoring|Critical Thinking
OCCO:31909300	medical equipment preparers	Critical Thinking|Quality Control Analysis|Monitoring|Operation Monitoring|Active Listening|Troubleshooting
OCCO:31909400	medical transcriptionists	Active Listening|Writing|Reading Comprehension|Time Management|Speaking|Monitoring
OCCO:31909500	pharmacy aides	Active Listening|Speaking|Service Orientation|Social Perceptiveness|Reading Comprehension|Judgment and Decision Making
OCCO:31909600	veterinary assistants and laboratory animal caretakers	Active Listening|Service Orientation|Monitoring|Speaking|Social Perceptiveness|Reading Comprehension
OCCO:31909700	phlebotomists	Social Perceptiveness|Service Orientation|Active Listening|Speaking|Critical Thinking|Writing
OCCO:31909901	speech-language pathology assistants	Active Listening|Reading Comprehension|Speaking|Social Perceptiveness|Service Orientation|Monitoring
OCCO:31909902	endoscopy technicians	Reading Comprehension|Critical Thinking|Speaking|Active Listening|Writing|Social Perceptiveness
OCCO:33101100	first-line supervisors of correctional officers	Social Perceptiveness|Monitoring|Critical Thinking|Coordination|Active Listening|Speaking
OCCO:33101200	first-line supervisors of police and detectives	Active Listening|Speaking|Social Perceptiveness|Monitoring|Management of Personnel Resources|Critical Thinking
OCCO:33202200	forest fire inspectors and prevention specialists	Critical Thinking|Speaking|Judgment and Decision Making|Coordination|Complex Problem Solving|Active Listening
OCCO:33301100	bailiffs	Social Perceptiveness|Speaking|Monitoring|Active Listening|Judgment and Decision Making|Critical Thinking
OCCO:33301200	correctional officers and jailers	Speaking|Social Perceptiveness|Monitoring|Active Listening|Critical Thinking|Reading Comprehension
OCCO:33302102	police identification and records officers	Active Listening|Critical Thinking|Speaking|Reading Comprehension|Writing|Social Perceptiveness
OCCO:33302106	intelligence analysts	Reading Comprehension|Active Listening|Critical Thinking|Speaking|Writing|Judgment and Decision Making
OCCO:33303100	fish and game wardens	Critical Thinking|Active Listening|Speaking|Reading Comprehension|Judgment and Decision Making|Social Perceptiveness
OCCO:33304100	parking enforcement workers	Speaking|Monitoring|Social Perceptiveness|Critical Thinking|Active Listening|Time Management
OCCO:33305200	transit and railroad police	Speaking|Active Listening|Critical Thinking|Complex Problem Solving|Social Perceptiveness|Monitoring
OCCO:33901100	animal control workers	Active Listening|Speaking|Critical Thinking|Social Perceptiveness|Judgment and Decision Making|Complex Problem Solving
OCCO:33902100	private detectives and investigators	Active Listening|Speaking|Reading Comprehension|Critical Thinking|Complex Problem Solving|Writing
OCCO:33903200	security guards	Active Listening|Speaking|Monitoring|Reading Comprehension|Critical Thinking|Coordination
OCCO:33909200	"lifeguards, ski patrol, and other recreational protective service workers"	Speaking|Monitoring|Service Orientation|Judgment and Decision Making|Active Listening|Social Perceptiveness
OCCO:33909300	transportation security screeners	Speaking|Monitoring|Social Perceptiveness|Critical Thinking|Coordination|Active Listening
OCCO:33909902	retail loss prevention specialists	Critical Thinking|Speaking|Monitoring|Active Listening|Social Perceptiveness|Judgment and Decision Making
OCCO:35101100	chefs and head cooks	Monitoring|Speaking|Coordination|Time Management|Social Perceptiveness|Management of Personnel Resources
OCCO:35101200	first-line supervisors of food preparation and serving workers	Speaking|Service Orientation|Coordination|Active Listening|Monitoring|Management of Personnel Resources
OCCO:35201100	"cooks, fast food"	Active Listening|Speaking|Service Orientation|Critical Thinking|Social Perceptiveness|Reading Comprehension
OCCO:35201200	"cooks, institution and cafeteria"	Time Management|Monitoring|Speaking|Service Orientation|Reading Comprehension|Quality Control Analysis
OCCO:35201300	"cooks, private household"	Service Orientation|Critical Thinking|Management of Material Resources|Time Management|Speaking|Social Perceptiveness
OCCO:35201400	"cooks, restaurant"	Monitoring|Coordination|Active Listening|Speaking|Quality Control Analysis|Judgment and Decision Making
OCCO:35201500	"cooks, short order"	Active Listening|Time Management|Service Orientation|Coordination|Speaking|Reading Comprehension
OCCO:35202100	food preparation workers	Active Listening|Monitoring|Speaking|Time Management|Coordination|Service Orientation
OCCO:35301100	bartenders	Service Orientation|Active Listening|Speaking|Social Perceptiveness|Critical Thinking|Monitoring
OCCO:35302301	baristas	Active Listening|Speaking|Service Orientation|Social Perceptiveness|Reading Comprehension|Monitoring
OCCO:35303100	waiters and waitresses	Active Listening|Service Orientation|Speaking|Social Perceptiveness|Coordination|Monitoring
OCCO:35304100	"food servers, nonrestaurant"	Monitoring|Service Orientation|Speaking|Active Listening|Social Perceptiveness|Coordination
OCCO:35901100	dining room and cafeteria attendants and bartender helpers	Service Orientation|Coordination|Social Perceptiveness|Monitoring|Active Listening|Speaking
OCCO:35902100	dishwashers	Active Listening|Time Management|Operation Monitoring|Operation and Control|Monitoring|Coordination
OCCO:35903100	"hosts and hostesses, restaurant, lounge, and coffee shop"	Active Listening|Speaking|Service Orientation|Social Perceptiveness|Persuasion|Coordination
OCCO:37101100	first-line supervisors of housekeeping and janitorial workers	Time Management|Speaking|Social Perceptiveness|Monitoring|Management of Personnel Resources|Coordination
OCCO:37101200	"first-line supervisors of landscaping, lawn service, and groundskeeping workers"	Critical Thinking|Coordination|Active Listening|Time Management|Speaking|Monitoring
OCCO:37201100	"janitors and cleaners, except maids and housekeeping cleaners"	Active Listening|Social Perceptiveness|Critical Thinking|Coordination|Time Management|Speaking
OCCO:37201200	maids and housekeeping cleaners	Service Orientation|Coordination|Speaking|Monitoring|Active Listening|Time Management
OCCO:37202100	pest control workers	Critical Thinking|Active Listening|Writing|Speaking|Monitoring|Time Management
OCCO:37301100	landscaping and groundskeeping workers	Operation and Control|Speaking|Critical Thinking|Operation Monitoring|Coordination|Active Listening
OCCO:37301200	"pesticide handlers, sprayers, and applicators, vegetation"	Active Listening|Time Management|Speaking|Critical Thinking|Social Perceptiveness|Reading Comprehension
OCCO:37301300	tree trimmers and pruners	Operation and Control|Operation Monitoring|Active Listening|Critical Thinking|Coordination|Instructing
OCCO:39102200	first-line supervisors of personal service workers	Critical Thinking|Active Listening|Speaking|Social Perceptiveness|Management of Personnel Resources|Time Management
OCCO:39201100	animal trainers	Instructing|Speaking|Learning Strategies|Critical Thinking|Active Learning|Monitoring
OCCO:39302100	motion picture projectionists	Operation Monitoring|Operation and Control|Monitoring|Active Listening|Time Management|Speaking
OCCO:39303100	"ushers, lobby attendants, and ticket takers"	Social Perceptiveness|Speaking|Service Orientation|Active Listening|Coordination|Persuasion
OCCO:39309100	amusement and recreation attendants	Speaking|Active Listening|Social Perceptiveness|Service Orientation|Monitoring|Coordination
OCCO:39309200	costume attendants	Speaking|Monitoring|Coordination|Active Listening|Social Perceptiveness|Service Orientation
OCCO:39309300	"locker room, coatroom, and dressing room attendants"	Speaking|Service Orientation|Active Listening|Social Perceptiveness|Monitoring|Coordination
OCCO:39401100	embalmers	Speaking|Active Listening|Critical Thinking|Social Perceptiveness|Service Orientation|Monitoring
OCCO:39402100	funeral attendants	Social Perceptiveness|Speaking|Service Orientation|Monitoring|Active Listening|Coordination
OCCO:39501100	barbers	Active Listening|Speaking|Social Perceptiveness|Monitoring|Service Orientation|Critical Thinking
OCCO:39501200	"hairdressers, hairstylists, and cosmetologists"	Active Listening|Speaking|Service Orientation|Critical Thinking|Judgment and Decision Making|Active Learning
OCCO:39509100	"makeup artists, theatrical and performance"	Speaking|Judgment and Decision Making|Active Listening|Time Management|Critical Thinking|Coordination
OCCO:39509200	manicurists and pedicurists	Speaking|Social Perceptiveness|Service Orientation|Active Listening|Time Management|Reading Comprehension
OCCO:39509300	shampooers	Speaking|Active Listening|Service Orientation|Social Perceptiveness|Monitoring|Coordination
OCCO:39509400	skincare specialists	Speaking|Service Orientation|Active Listening|Reading Comprehension|Active Learning|Social Perceptiveness
OCCO:39601100	baggage porters and bellhops	Service Orientation|Speaking|Active Listening|Social Perceptiveness|Monitoring|Coordination
OCCO:39601200	concierges	Service Orientation|Speaking|Social Perceptiveness|Active Listening|Coordination|Critical Thinking
OCCO:39701100	tour guides and escorts	Speaking|Social Perceptiveness|Active Listening|Service Orientation|Reading Comprehension|Coordination
OCCO:39701200	travel guides	Speaking|Active Listening|Service Orientation|Coordination|Social Perceptiveness|Persuasion
OCCO:39901100	childcare workers	Speaking|Service Orientation|Monitoring|Social Perceptiveness|Critical Thinking|Judgment and Decision Making
OCCO:39901101	nannies	Speaking|Social Perceptiveness|Monitoring|Judgment and Decision Making|Active Listening|Complex Problem Solving
OCCO:39903200	recreation workers	Active Listening|Speaking|Social Perceptiveness|Service Orientation|Coordination|Monitoring
OCCO:39904100	residential advisors	Speaking|Social Perceptiveness|Monitoring|Active Listening|Critical Thinking|Coordination
OCCO:41101100	first-line supervisors of retail sales workers	Active Listening|Speaking|Service Orientation|Monitoring|Critical Thinking|Coordination
OCCO:41101200	first-line supervisors of non-retail sales workers	Speaking|Monitoring|Management of Personnel Resources|Judgment and Decision Making|Active Listening|Time Management
OCCO:41201100	cashiers	Active Listening|Speaking|Service Orientation|Mathematics|Social Perceptiveness|Critical Thinking
OCCO:41202100	counter and rental clerks	Active Listening|Speaking|Service Orientation|Social Perceptiveness|Reading Comprehension|Critical Thinking
OCCO:41202200	parts salespersons	Speaking|Active Listening|Service Orientation|Reading Comprehension|Persuasion|Social Perceptiveness
OCCO:41203100	retail salespersons	Speaking|Persuasion|Active Listening|Service Orientation|Social Perceptiveness|Negotiation
OCCO:41301100	advertising sales agents	Social Perceptiveness|Persuasion|Speaking|Active Listening|Service Orientation|Negotiation
OCCO:41302100	insurance sales agents	Active Listening|Reading Comprehension|Writing|Speaking|Time Management|Service Orientation
OCCO:41304100	travel agents	Service Orientation|Active Listening|Speaking|Reading Comprehension|Social Perceptiveness|Persuasion
OCCO:41401100	"sales representatives, wholesale and manufacturing, technical and scientific products"	Speaking|Persuasion|Active Listening|Negotiation|Social Perceptiveness|Service Orientation
OCCO:41401107	solar sales representatives and assessors	Speaking|Active Listening|Service Orientation|Social Perceptiveness|Reading Comprehension|Persuasion
OCCO:41401200	"sales representatives, wholesale and manufacturing, except technical and scientific products"	Speaking|Active Listening|Persuasion|Social Perceptiveness|Negotiation|Critical Thinking
