Ontology ID	LABEL	Entity type	SubClass Of [NAMED]	alternative term	definition	definition source	Reference web link (top ability)	term editor	desposition	role	SubProperty Of
OCCO:51408000	"multiple machine tool setter, operator, or tender, metal or plastic (broad)"	Class	metal worker or plastic worker	"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:51411000	tool or die maker (broad)	Class	metal worker or plastic worker	Tool and Die Makers		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:51412000	"welding, soldering, or brazing worker"	Class	metal worker or plastic worker	"Welding, Soldering, and Brazing Workers"		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:51412100	"welder, cutter, solderer, or brazer"	Class	"welding, soldering, or brazing worker"	"Welders, Cutters, Solderers, and Brazers"	"Use hand-welding, flame-cutting, hand-soldering, or brazing equipment to weld or join metal components or to fill holes, indentations, or seams of fabricated metal products."	https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:51419000	miscellaneous metal worker or plastic worker	Class	metal worker or plastic worker	Miscellaneous Metal Workers and Plastic Workers		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:51419300	"plating machine setter, operator, or tender, metal or plastic"	Class	miscellaneous metal worker or plastic worker	"Plating Machine Setters, Operators, and Tenders, Metal and Plastic"	"Set up, operate, or tend plating machines to coat metal or plastic products with chromium, zinc, copper, cadmium, nickel, or other metal to protect or decorate surfaces. Typically, the product being coated is immersed in molten metal or an electrolytic solution."	https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:51419900	"metal worker or plastic worker, all other"	Class	miscellaneous metal worker or plastic worker	"Metal Workers and Plastic Workers, All Other"	All metal workers and plastic workers not listed separately.	https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:51510000	printing worker (minor)	Class	production occupation	Printing Workers		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:51511000	printing worker	Class	printing worker (minor)	Printing Workers		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:51600000	"textile, apparel, or furnishings worker"	Class	production occupation	"Textile, Apparel, and Furnishings Workers"		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:51601000	laundry or dry-cleaning worker (broad)	Class	"textile, apparel, or furnishings worker"	Laundry and Dry-Cleaning Workers		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:51602000	"presser, textile, garment, or related materials (broad)"	Class	"textile, apparel, or furnishings worker"	"Pressers, Textile, Garment, and Related Materials"		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:51603000	sewing machine operator (broad)	Class	"textile, apparel, or furnishings worker"	Sewing Machine Operators		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:51604000	shoe or leather worker	Class	"textile, apparel, or furnishings worker"	Shoe and Leather Workers		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:51605000	"tailor, dressmaker, or sewer"	Class	"textile, apparel, or furnishings worker"	"Tailors, Dressmakers, and Sewers"		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:51606000	"textile machine setter, operator, or tender"	Class	"textile, apparel, or furnishings worker"	"Textile Machine Setters, Operators, and Tenders"		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:51609000	"miscellaneous textile, apparel, or furnishings worker"	Class	"textile, apparel, or furnishings worker"	"Miscellaneous Textile, Apparel, and Furnishings Workers"		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:51609900	"textile, apparel, or furnishings worker, all other"	Class	"miscellaneous textile, apparel, or furnishings worker"	"Textile, Apparel, and Furnishings Workers, All Other"	"All textile, apparel, and furnishings workers not listed separately."	https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:51700000	woodworker	Class	production occupation	Woodworkers		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:51701000	cabinetmaker or bench carpenter (broad)	Class	woodworker	Cabinetmakers and Bench Carpenters		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:51702000	furniture finisher (broad)	Class	woodworker	Furniture Finishers		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:51703000	"model maker or patternmaker, wood"	Class	woodworker	"Model Makers and Patternmakers, Wood"		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:51704000	"woodworking machine setter, operator, or tender"	Class	woodworker	"Woodworking Machine Setters, Operators, and Tenders"		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:51709000	miscellaneous woodworker	Class	woodworker	Miscellaneous Woodworkers		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:51709900	"woodworker, all other"	Class	miscellaneous woodworker	"Woodworkers, All Other"	All woodworkers not listed separately.	https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:51800000	plant or system operator	Class	production occupation	Plant and System Operators		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:51801000	"power plant operator, distributor, or dispatcher"	Class	plant or system operator	"Power Plant Operators, Distributors, and Dispatchers"		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:51802000	stationary engineer or boiler operator (broad)	Class	plant or system operator	Stationary Engineers and Boiler Operators		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:51803000	water or wastewater treatment plant or system operator (broad)	Class	plant or system operator	Water and Wastewater Treatment Plant and System Operators		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:51809000	miscellaneous plant or system operator	Class	plant or system operator	Miscellaneous Plant and System Operators		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:51809900	"plant or system operator, all other"	Class	miscellaneous plant or system operator	"Plant and System Operators, All Other"	All plant and system operators not listed separately.	https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:51900000	other production occupation	Class	production occupation	Other Production Occupations		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:51901000	"chemical processing machine setter, operator, or tender"	Class	other production occupation	"Chemical Processing Machine Setters, Operators, and Tenders"		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:51902000	"crushing, grinding, polishing, mixing, or blending worker"	Class	other production occupation	"Crushing, Grinding, Polishing, Mixing, and Blending Workers"		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:51903000	cutting worker	Class	other production occupation	Cutting Workers		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:51904000	"extruding, forming, pressing, or compacting machine setter, operator, or tender (broad)"	Class	other production occupation	"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:51905000	"furnace, Kiln, oven, drier, or Kettle operator or tender (broad)"	Class	other production occupation	"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:51906000	"inspector, tester, sorter, sampler, or weigher (broad)"	Class	other production occupation	"Inspectors, Testers, Sorters, Samplers, and Weighers"		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:51907000	jeweler or precious stone or metal worker (broad)	Class	other production occupation	Jewelers and Precious Stone and Metal Workers		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:51907100	jeweler or precious stone or metal worker	Class	jeweler or precious stone or metal worker (broad)	Jewelers and Precious Stone and Metal Workers	"Design, fabricate, adjust, repair, or appraise jewelry, gold, silver, other precious metals, or gems."	https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:51908000	dental or ophthalmic laboratory technician or medical appliance technician	Class	other production occupation	Dental and Ophthalmic Laboratory Technicians and Medical Appliance Technicians		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:51911000	packaging or filling machine operator or tender (broad)	Class	other production occupation	Packaging and Filling Machine Operators and Tenders		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:51912000	painting worker	Class	other production occupation	Painting Workers		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:51914000	semiconductor processing technician (broad)	Class	other production occupation	Semiconductor Processing Technicians		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:51914100	semiconductor processing technician	Class	semiconductor processing technician (broad)	Semiconductor Processing Technicians	"Perform any or all of the following functions in the manufacture of electronic semiconductors: load semiconductor material into furnace; saw formed ingots into segments; load individual segment into crystal growing chamber and monitor controls; locate crystal axis in ingot using x-ray equipment and saw ingots into wafers; and clean, polish, and load wafers into series of special purpose furnaces, chemical baths, and equipment used to form circuitry and change conductive properties."	https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:51915000	photographic process worker or processing machine operator (broad)	Class	other production occupation	Photographic Process Workers and Processing Machine Operators		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:51916000	computer numerically controlled tool operator or programmer	Class	other production occupation	Computer Numerically Controlled Tool Operators and Programmers		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:51916100	computer numerically controlled tool operator	Class	computer numerically controlled tool operator or programmer	Computer Numerically Controlled Tool Operators	"Operate computer-controlled tools, machines, or robots to machine or process parts, tools, or other work pieces made of metal, plastic, wood, stone, or other materials. May also set up and maintain equipment."	https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:51916200	computer numerically controlled tool programmer	Class	computer numerically controlled tool operator or programmer	Computer Numerically Controlled Tool Programmers	"Develop programs to control machining or processing of materials by automatic machine tools, equipment, or systems. May also set up, operate, or maintain equipment."	https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:51919000	miscellaneous production worker	Class	other production occupation	Miscellaneous Production Workers		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:51919500	"molder, shaper, or caster, except metal or plastic"	Class	miscellaneous production worker	"Molders, Shapers, and Casters, Except Metal and Plastic"	"Mold, shape, form, cast, or carve products such as food products, figurines, tile, pipes, and candles consisting of clay, glass, plaster, concrete, stone, or combinations of materials."	https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:51919900	"production worker, all other"	Class	miscellaneous production worker	"Production Workers, All Other"	All production workers not listed separately.	https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53000000	transportation or material moving occupation	Class	occupation holder	Transportation and Material Moving Occupations		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53100000	supervisor of transportation or material moving worker	Class	transportation or material moving occupation	Supervisors of Transportation and Material Moving Workers		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53104000	first-line supervisor of transportation or material moving worker	Class	supervisor of transportation or material moving worker	First-Line Supervisors of Transportation and Material Moving Workers		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53104300	first-line supervisor of material-moving machine or vehicle operator	Class	first-line supervisor of transportation or material moving worker	First-Line Supervisors of Material-Moving Machine and Vehicle Operators	Directly supervise and coordinate activities of material-moving machine and vehicle operators and helpers.	https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53104400	first-line supervisor of passenger attendant	Class	first-line supervisor of transportation or material moving worker	First-Line Supervisors of Passenger Attendants	Supervise and coordinate activities of passenger attendants.	https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53104900	"first-line supervisor of transportation worker, all other"	Class	first-line supervisor of transportation or material moving worker	"First-Line Supervisors of Transportation Workers, All Other"	All first-line supervisors of transportation workers not listed separately.	https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53200000	air transportation worker	Class	transportation or material moving occupation	Air Transportation Workers		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53201000	aircraft pilot or flight engineer	Class	air transportation worker	Aircraft Pilots and Flight Engineers		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53202000	air traffic controller or airfield operations specialist	Class	air transportation worker	Air Traffic Controllers and Airfield Operations Specialists		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53203000	flight attendant (broad)	Class	air transportation worker	Flight Attendants		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53300000	motor vehicle operator	Class	transportation or material moving occupation	Motor Vehicle Operators		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53301000	"ambulance driver or attendant, except emergency medical technician (broad)"	Class	motor vehicle operator	"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53303000	driver/sales worker or truck driver	Class	motor vehicle operator	Driver/Sales Workers and Truck Drivers		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53303300	light truck driver	Class	driver/sales worker or truck driver	Light Truck Drivers	"Drive a light vehicle, such as a truck or van, with a capacity of less than 26,001 pounds Gross Vehicle Weight (GVW), primarily to pick up merchandise or packages from a distribution center and deliver. May load and unload vehicle."	https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53305000	passenger vehicle driver	Class	motor vehicle operator	Passenger Vehicle Drivers		https://www.bls.gov/soc/		Sam Smith|Oliver He			
OCCO:53305100	"bus driver, school"	Class	passenger vehicle driver	"Bus Drivers, School"	Drive a school bus to transport students. Ensure adherence to safety rules. May assist students in boarding or exiting.	https://www.bls.gov/soc/		Sam Smith|Oliver He			
