Ontology ID	LABEL	Entity type	SubClass Of [NAMED]	alternative term	definition	definition source	Reference web link (top ability)	term editor	desposition	role	SubProperty Of
ID	A rdfs:label	TYPE	C %	A alternative term SPLIT=|	A definition SPLIT=|	A definition source SPLIT=|	A definition source SPLIT=|	A term editor SPLIT=|	EC 'has disposition' some %	SC 'has role' some %	SP %
OCCO:11101100	chief executive	Class	chief executive (broad)	Chief Executives	"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers."		https://www.bls.gov/oes/current/oes111011.htm	Sam Smith|Oliver He			
OCCO:11101103	chief sustainability officer	Class	chief executive (broad)	Chief Sustainability Officers	"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy."		https://www.bls.gov/oes/current/oes111011.htm	Sam Smith|Oliver He			
OCCO:11102100	general or operations manager	Class	general or operations manager (broad)	General and Operations Managers	"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors."		https://www.bls.gov/oes/current/oes111021.htm	Sam Smith|Oliver He			
OCCO:11201100	advertising or promotions manager	Class	advertising or promotions manager (broad)	Advertising and Promotions Managers	"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis."		https://www.bls.gov/oes/current/oes112011.htm	Sam Smith|Oliver He			
OCCO:11202100	marketing manager	Class	marketing or sales manager	Marketing Managers	"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services."		https://www.bls.gov/oes/current/oes112021.htm	Sam Smith|Oliver He			
OCCO:11202200	sales manager	Class	marketing or sales manager	Sales Managers	"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers."		https://www.bls.gov/oes/current/oes112022.htm	Sam Smith|Oliver He			
OCCO:11301200	administrative services manager	Class	administrative services or facilities manager	Administrative Services Managers	"Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, and other office support services."		https://www.bls.gov/oes/current/oes113012.htm	Sam Smith|Oliver He			
OCCO:11301301	security manager	Class	administrative services or facilities manager	Security Managers	"Direct an organization's security functions, including physical security and safety of employees and facilities."		https://www.bls.gov/oes/current/oes113013.htm	Sam Smith|Oliver He			
OCCO:11302100	computer or information systems manager	Class	computer or information systems manager (broad)	Computer and Information Systems Managers	"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming."		https://www.bls.gov/oes/current/oes113021.htm	Sam Smith|Oliver He			
OCCO:11303101	treasurers or controller	Class	financial manager (broad)	Treasurers and Controllers	"Direct financial activities, such as planning, procurement, and investments for all or part of an organization."		https://www.bls.gov/oes/current/oes113031.htm	Sam Smith|Oliver He			
OCCO:11303103	investment fund manager	Class	financial manager (broad)	Investment Fund Managers	"Plan, direct, or coordinate investment strategy or operations for a large pool of liquid assets supplied by institutional investors or individual investors."		https://www.bls.gov/oes/current/oes113031.htm	Sam Smith|Oliver He			
OCCO:11305100	industrial production manager	Class	industrial production manager (broad)	Industrial Production Managers	"Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications."		https://www.bls.gov/oes/current/oes113051.htm	Sam Smith|Oliver He			
OCCO:11305101	quality control systems manager	Class	industrial production manager (broad)	Quality Control Systems Managers	"Plan, direct, or coordinate quality assurance programs. Formulate quality control policies and control quality of laboratory and production efforts."		https://www.bls.gov/oes/current/oes113051.htm	Sam Smith|Oliver He			
OCCO:11305102	geothermal production manager	Class	industrial production manager (broad)	Geothermal Production Managers	Manage operations at geothermal power generation facilities. Maintain and monitor geothermal plant equipment for efficient and safe plant operations.		https://www.bls.gov/oes/current/oes113051.htm	Sam Smith|Oliver He			
OCCO:11305103	biofuels production manager	Class	industrial production manager (broad)	Biofuels Production Managers	"Manage biofuels production and plant operations. Collect and process information on plant production and performance, diagnose problems, and design corrective procedures."		https://www.bls.gov/oes/current/oes113051.htm	Sam Smith|Oliver He			
OCCO:11305104	biomass power plant manager	Class	industrial production manager (broad)	Biomass Power Plant Managers	"Manage operations at biomass power generation facilities. Direct work activities at plant, including supervision of operations and maintenance staff."		https://www.bls.gov/oes/current/oes113051.htm	Sam Smith|Oliver He			
OCCO:11305106	hydroelectric production manager	Class	industrial production manager (broad)	Hydroelectric Production Managers	Manage operations at hydroelectric power generation facilities. Maintain and monitor hydroelectric plant equipment for efficient and safe plant operations.		https://www.bls.gov/oes/current/oes113051.htm	Sam Smith|Oliver He			
OCCO:11306100	purchasing manager	Class	purchasing manager (broad)	Purchasing Managers	"Plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services. Includes wholesale or retail trade merchandising managers and procurement managers."		https://www.bls.gov/oes/current/oes113061.htm	Sam Smith|Oliver He			
OCCO:11307104	supply chain manager	Class	"transportation, storage, or distribution manager (broad)"	Supply Chain Managers	"Direct or coordinate production, purchasing, warehousing, distribution, or financial forecasting services or activities to limit costs and improve accuracy, customer service, or safety. Examine existing procedures or opportunities for streamlining activities to meet product distribution needs. Direct the movement, storage, or processing of inventory."		https://www.bls.gov/oes/current/oes113071.htm	Sam Smith|Oliver He			
OCCO:11311100	compensation or benefits manager	Class	compensation or benefits manager (broad)	Compensation and Benefits Managers	"Plan, direct, or coordinate compensation and benefits activities of an organization."		https://www.bls.gov/oes/current/oes113111.htm	Sam Smith|Oliver He			
OCCO:11312100	human resources manager	Class	human resources manager (broad)	Human Resources Managers	"Plan, direct, or coordinate human resources activities and staff of an organization."		https://www.bls.gov/oes/current/oes113121.htm	Sam Smith|Oliver He			
OCCO:11313100	training or development manager	Class	training or development manager (broad)	Training and Development Managers	"Plan, direct, or coordinate the training and development activities and staff of an organization."		https://www.bls.gov/oes/current/oes113131.htm	Sam Smith|Oliver He			
OCCO:11902100	construction manager	Class	construction manager (broad)	Construction Managers	"Plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation. Includes managers in specialized construction fields, such as carpentry or plumbing."		https://www.bls.gov/oes/current/oes119021.htm	Sam Smith|Oliver He			
OCCO:11903300	"education administrator, postsecondary"	Class	education or childcare administrator	"Education Administrators, Postsecondary"	"Plan, direct, or coordinate student instruction, administration, and services, as well as other research and educational activities, at postsecondary institutions, including universities, colleges, and junior and community colleges."		https://www.bls.gov/oes/current/oes119033.htm	Sam Smith|Oliver He			
OCCO:11904100	architectural or engineering manager	Class	architectural or engineering manager (broad)	Architectural and Engineering Managers	"Plan, direct, or coordinate activities in such fields as architecture and engineering or research and development in these fields."		https://www.bls.gov/oes/current/oes119041.htm	Sam Smith|Oliver He			
OCCO:11904101	biofuels/biodiesel technology or product development manager	Class	architectural or engineering manager (broad)	Biofuels/Biodiesel Technology and Product Development Managers	"Define, plan, or execute biofuels/biodiesel research programs that evaluate alternative feedstock and process technologies with near-term commercial potential."		https://www.bls.gov/oes/current/oes119041.htm	Sam Smith|Oliver He			
OCCO:11905100	food service manager	Class	food service manager (broad)	Food Service Managers	"Plan, direct, or coordinate activities of an organization or department that serves food and beverages."		https://www.bls.gov/oes/current/oes119051.htm	Sam Smith|Oliver He			
OCCO:11908100	lodging manager	Class	lodging manager (broad)	Lodging Managers	"Plan, direct, or coordinate activities of an organization or department that provides lodging and other accommodations."		https://www.bls.gov/oes/current/oes119081.htm	Sam Smith|Oliver He			
OCCO:11911100	medical or health services manager	Class	medical or health services manager (broad)	Medical and Health Services Managers	"Plan, direct, or coordinate medical and health services in hospitals, clinics, managed care organizations, public health agencies, or similar organizations."		https://www.bls.gov/oes/current/oes119111.htm	Sam Smith|Oliver He			
OCCO:11912100	natural sciences manager	Class	natural sciences manager (broad)	Natural Sciences Managers	"Plan, direct, or coordinate activities in such fields as life sciences, physical sciences, mathematics, statistics, and research and development in these fields."		https://www.bls.gov/oes/current/oes119121.htm	Sam Smith|Oliver He			
OCCO:11912101	clinical research coordinator	Class	natural sciences manager (broad)	Clinical Research Coordinators	"Plan, direct, or coordinate clinical research projects. Direct the activities of workers engaged in clinical research projects to ensure compliance with protocols and overall clinical objectives. May evaluate and analyze clinical data."		https://www.bls.gov/oes/current/oes119121.htm	Sam Smith|Oliver He			
OCCO:11912102	water resource specialist	Class	natural sciences manager (broad)	Water Resource Specialists	"Design or implement programs and strategies related to water resource issues such as supply, quality, and regulatory compliance issues."		https://www.bls.gov/oes/current/oes119121.htm	Sam Smith|Oliver He			
OCCO:11913100	postmasters or mail superintendent	Class	postmaster or mail superintendent	Postmasters and Mail Superintendents	"Plan, direct, or coordinate operational, administrative, management, and support services of a U.S. post office; or coordinate activities of workers engaged in postal and related work in assigned post office."		https://www.bls.gov/oes/current/oes119131.htm	Sam Smith|Oliver He			
OCCO:11914100	"property, real estate, or community association manager"	Class	"property, real estate, or community association manager (broad)"	"Property, Real Estate, and Community Association Managers"	"Plan, direct, or coordinate the selling, buying, leasing, or governance activities of commercial, industrial, or residential real estate properties. Includes managers of homeowner and condominium associations, rented or leased housing units, buildings, or land (including rights-of-way)."		https://www.bls.gov/oes/current/oes119141.htm	Sam Smith|Oliver He			
OCCO:11915100	social or community service manager	Class	social or community service manager (broad)	Social and Community Service Managers	"Plan, direct, or coordinate the activities of a social service program or community outreach organization. Oversee the program or organization's budget and policies regarding participant involvement, program requirements, and benefits. Work may involve directing social workers, counselors, or probation officers."		https://www.bls.gov/oes/current/oes119151.htm	Sam Smith|Oliver He			
OCCO:11916100	emergency management director	Class	emergency management director (broad)	Emergency Management Directors	"Plan and direct disaster response or crisis management activities, provide disaster preparedness training, and prepare emergency plans and procedures for natural (e.g., hurricanes, floods, earthquakes), wartime, or technological (e.g., nuclear power plant emergencies or hazardous materials spills) disasters or hostage situations."		https://www.bls.gov/oes/current/oes119161.htm	Sam Smith|Oliver He			
OCCO:11917901	fitness or wellness coordinator	Class	personal service manager	Fitness and Wellness Coordinators	"Manage or coordinate fitness and wellness programs and services. Manage and train staff of wellness specialists, health educators, or fitness instructors."		https://www.bls.gov/oes/current/oes119179.htm	Sam Smith|Oliver He			
OCCO:11917902	spa manager	Class	personal service manager	Spa Managers	"Plan, direct, or coordinate activities of a spa facility. Coordinate programs, schedule and direct staff, and oversee financial activities."		https://www.bls.gov/oes/current/oes119179.htm	Sam Smith|Oliver He			
OCCO:11919901	regulatory affairs manager	Class	miscellaneous manager	Regulatory Affairs Managers	"Plan, direct, or coordinate production activities of an organization to ensure compliance with regulations and standard operating procedures."		https://www.bls.gov/oes/current/oes119199.htm	Sam Smith|Oliver He			
OCCO:11919902	compliance manager	Class	miscellaneous manager	Compliance Managers	"Plan, direct, or coordinate activities of an organization to ensure compliance with ethical or regulatory standards."		https://www.bls.gov/oes/current/oes119199.htm	Sam Smith|Oliver He			
OCCO:11919908	loss prevention manager	Class	miscellaneous manager	Loss Prevention Managers	"Plan and direct policies, procedures, or systems to prevent the loss of assets. Determine risk exposure or potential liability, and develop risk control measures."		https://www.bls.gov/oes/current/oes119199.htm	Sam Smith|Oliver He			
OCCO:11919909	wind energy operations manager	Class	miscellaneous manager	Wind Energy Operations Managers	"Manage wind field operations, including personnel, maintenance activities, financial activities, and planning."		https://www.bls.gov/oes/current/oes119199.htm	Sam Smith|Oliver He			
OCCO:11919911	brownfield redevelopment specialist or site manager	Class	miscellaneous manager	Brownfield Redevelopment Specialists and Site Managers	Plan and direct cleanup and redevelopment of contaminated properties for reuse. Does not include properties sufficiently contaminated to qualify as Superfund sites.		https://www.bls.gov/oes/current/oes119199.htm	Sam Smith|Oliver He			
OCCO:13101100	"agent or business manager of artist, performer, or athletes"	Class	"agent or business manager of artist, performer, or athlete"	"Agents and Business Managers of Artists, Performers, and Athletes"	"Represent and promote artists, performers, and athletes in dealings with current or prospective employers. May handle contract negotiation and other business matters for clients."		https://www.bls.gov/oes/current/oes131011.htm	Sam Smith|Oliver He			
OCCO:13102100	"buyer or purchasing agent, farm product"	Class	buyer or purchasing agent	"Buyers and Purchasing Agents, Farm Products"	"Purchase farm products either for further processing or resale. Includes tree farm contractors, grain brokers and market operators, grain buyers, and tobacco buyers. May negotiate contracts."		https://www.bls.gov/oes/current/oes131021.htm	Sam Smith|Oliver He			
OCCO:13102200	"wholesale or retail buyer, except farm product"	Class	buyer or purchasing agent	"Wholesale and Retail Buyers, Except Farm Products"	"Buy merchandise or commodities, other than farm products, for resale to consumers at the wholesale or retail level, including both durable and nondurable goods. Analyze past buying trends, sales records, price, and quality of merchandise to determine value and yield. Select, order, and authorize payment for merchandise according to contractual agreements. May conduct meetings with sales personnel and introduce new products. May negotiate contracts. Includes assistant wholesale and retail buyers of nonfarm products."		https://www.bls.gov/oes/current/oes131022.htm	Sam Smith|Oliver He			
OCCO:13102300	"purchasing agent, except wholesale, retail, or farm product"	Class	buyer or purchasing agent	"Purchasing Agents, Except Wholesale, Retail, and Farm Products"	"Purchase machinery, equipment, tools, parts, supplies, or services necessary for the operation of an establishment. Purchase raw or semifinished materials for manufacturing. May negotiate contracts."		https://www.bls.gov/oes/current/oes131023.htm	Sam Smith|Oliver He			
OCCO:13103200	"insurance appraiser, auto damage"	Class	"claims adjuster, appraiser, examiner, or investigator"	"Insurance Appraisers, Auto Damage"	Appraise automobile or other vehicle damage to determine repair costs for insurance claim settlement. Prepare insurance forms to indicate repair cost or cost estimates and recommendations. May seek agreement with automotive repair shop on repair costs.		https://www.bls.gov/oes/current/oes131032.htm	Sam Smith|Oliver He			
OCCO:13104101	environmental compliance inspector	Class	compliance officer (broad)	Environmental Compliance Inspectors	"Inspect and investigate sources of pollution to protect the public and environment and ensure conformance with Federal, State, and local regulations and ordinances."		https://www.bls.gov/oes/current/oes131041.htm	Sam Smith|Oliver He			
OCCO:13104103	equal opportunity representative or officer	Class	compliance officer (broad)	Equal Opportunity Representatives and Officers	"Monitor and evaluate compliance with equal opportunity laws, guidelines, and policies to ensure that employment practices and contracting arrangements give equal opportunity without regard to race, religion, color, national origin, sex, age, or disability."		https://www.bls.gov/oes/current/oes131041.htm	Sam Smith|Oliver He			
OCCO:13104104	government property inspector or investigator	Class	compliance officer (broad)	Government Property Inspectors and Investigators	Investigate or inspect government property to ensure compliance with contract agreements and government regulations.		https://www.bls.gov/oes/current/oes131041.htm	Sam Smith|Oliver He			
OCCO:13104106	coroner	Class	compliance officer (broad)	Coroners	"Direct activities such as autopsies, pathological and toxicological analyses, and inquests relating to the investigation of deaths occurring within a legal jurisdiction to determine cause of death or to fix responsibility for accidental, violent, or unexplained deaths."		https://www.bls.gov/oes/current/oes131041.htm	Sam Smith|Oliver He			
OCCO:13104107	regulatory affairs specialist	Class	compliance officer (broad)	Regulatory Affairs Specialists	"Coordinate and document internal regulatory processes, such as internal audits, inspections, license renewals, or registrations. May compile and prepare materials for submission to regulatory agencies."		https://www.bls.gov/oes/current/oes131041.htm	Sam Smith|Oliver He			
OCCO:13104108	customs broker	Class	compliance officer (broad)	Customs Brokers	Prepare customs documentation and ensure that shipments meet all applicable laws to facilitate the import and export of goods. Determine and track duties and taxes payable and process payments on behalf of client. Sign documents under a power of attorney. Represent clients in meetings with customs officials and apply for duty refunds and tariff reclassifications. Coordinate transportation and storage of imported goods.		https://www.bls.gov/oes/current/oes131041.htm	Sam Smith|Oliver He			
OCCO:13105100	cost estimator	Class	cost estimator (broad)	Cost Estimators	"Prepare cost estimates for product manufacturing, construction projects, or services to aid management in bidding on or determining price of product or service. May specialize according to particular service performed or type of product manufactured."		https://www.bls.gov/oes/current/oes131051.htm	Sam Smith|Oliver He			
OCCO:13107100	human resources specialist	Class	human resources worker	Human Resources Specialists	"Recruit, screen, interview, or place individuals within an organization. May perform other activities in multiple human resources areas."		https://www.bls.gov/oes/current/oes131071.htm	Sam Smith|Oliver He			
OCCO:13107400	farm labor contractor	Class	human resources worker	Farm Labor Contractors	"Recruit and hire seasonal or temporary agricultural laborers. May transport, house, and provide meals for workers."		https://www.bls.gov/oes/current/oes131074.htm	Sam Smith|Oliver He			
OCCO:13107500	labor relations specialist	Class	human resources worker	Labor Relations Specialists	"Resolve disputes between workers and managers, negotiate collective bargaining agreements, or coordinate grievance procedures to handle employee complaints."		https://www.bls.gov/oes/current/oes131075.htm	Sam Smith|Oliver He			
OCCO:13108100	logistician	Class	logistician or project management specialist	Logisticians	"Analyze and coordinate the ongoing logistical functions of a firm or organization. Responsible for the entire life cycle of a product, including acquisition, distribution, internal allocation, delivery, and final disposal of resources."		https://www.bls.gov/oes/current/oes131081.htm	Sam Smith|Oliver He			
OCCO:13108101	logistics engineer	Class	logistician or project management specialist	Logistics Engineers	"Design or analyze operational solutions for projects such as transportation optimization, network modeling, process and methods analysis, cost containment, capacity enhancement, routing and shipment optimization, or information management."		https://www.bls.gov/oes/current/oes131081.htm	Sam Smith|Oliver He			
OCCO:13108102	logistics analyst	Class	logistician or project management specialist	Logistics Analysts	"Analyze product delivery or supply chain processes to identify or recommend changes. May manage route activity including invoicing, electronic bills, and shipment tracing."		https://www.bls.gov/oes/current/oes131081.htm	Sam Smith|Oliver He			
OCCO:13111100	management analyst	Class	management analyst (broad)	Management Analysts	"Conduct organizational studies and evaluations, design systems and procedures, conduct work simplification and measurement studies, and prepare operations and procedures manuals to assist management in operating more efficiently and effectively. Includes program analysts and management consultants."		https://www.bls.gov/oes/current/oes131111.htm	Sam Smith|Oliver He			
OCCO:13112100	"meeting, convention, or event planner"	Class	"meeting, convention, or event planner (broad)"	"Meeting, Convention, and Event Planners"	"Coordinate activities of staff, convention personnel, or clients to make arrangements for group meetings, events, or conventions."		https://www.bls.gov/oes/current/oes131121.htm	Sam Smith|Oliver He			
OCCO:13113100	fundraiser	Class	fundraiser (broad)	Fundraisers	"Organize activities to raise funds or otherwise solicit and gather monetary donations or other gifts for an organization. May design and produce promotional materials. May also raise awareness of the organization's work, goals, and financial needs."		https://www.bls.gov/oes/current/oes131131.htm	Sam Smith|Oliver He			
OCCO:13114100	"compensation, benefit, or job analysis specialist"	Class	"compensation, benefits, or job analysis specialist"	"Compensation, Benefits, and Job Analysis Specialists"	"Conduct programs of compensation and benefits and job analysis for employer. May specialize in specific areas, such as position classification and pension programs."		https://www.bls.gov/oes/current/oes131141.htm	Sam Smith|Oliver He			
OCCO:13115100	training or development specialist	Class	training or development specialist (broad)	Training and Development Specialists	Design or conduct work-related training and development programs to improve individual skills or organizational performance. May analyze organizational training needs or evaluate training effectiveness.		https://www.bls.gov/oes/current/oes131151.htm	Sam Smith|Oliver He			
OCCO:13116100	market research analyst or marketing specialist	Class	market research analyst or marketing specialist (broad)	Market Research Analysts and Marketing Specialists	"Research conditions in local, regional, national, or online markets. Gather information to determine potential sales of a product or service, or plan a marketing or advertising campaign. May gather information on competitors, prices, sales, and methods of marketing and distribution. May employ search marketing tactics, analyze web metrics, and develop recommendations to increase search engine ranking and visibility to target markets."		https://www.bls.gov/oes/current/oes131161.htm	Sam Smith|Oliver He			
OCCO:13116101	search marketing strategist	Class	market research analyst or marketing specialist (broad)	Search Marketing Strategists	"Employ search marketing tactics to increase visibility and engagement with content, products, or services in Internet-enabled devices or interfaces. Examine search query behaviors on general or specialty search engines or other Internet-based content. Analyze research, data, or technology to understand user intent and measure outcomes for ongoing optimization."		https://www.bls.gov/oes/current/oes131161.htm	Sam Smith|Oliver He			
OCCO:13119904	business continuity planner	Class	miscellaneous business operations specialist	Business Continuity Planners	"Develop, maintain, or implement business continuity and disaster recovery strategies and solutions, including risk assessments, business impact analyses, strategy selection, and documentation of business continuity and disaster recovery procedures. Plan, conduct, and debrief regular mock-disaster exercises to test the adequacy of existing plans and strategies, updating procedures and plans regularly. Act as a coordinator for continuity efforts after a disruption event."		https://www.bls.gov/oes/current/oes131199.htm	Sam Smith|Oliver He			
OCCO:13119905	sustainability specialist	Class	miscellaneous business operations specialist	Sustainability Specialists	"Address organizational sustainability issues, such as waste stream management, green building practices, and green procurement plans."		https://www.bls.gov/oes/current/oes131199.htm	Sam Smith|Oliver He			
OCCO:13119906	online merchant	Class	miscellaneous business operations specialist	Online Merchants	"Conduct retail activities of businesses operating exclusively online. May perform duties such as preparing business strategies, buying merchandise, managing inventory, implementing marketing activities, fulfilling and shipping online orders, and balancing financial records."		https://www.bls.gov/oes/current/oes131199.htm	Sam Smith|Oliver He			
OCCO:13119907	security management specialist	Class	miscellaneous business operations specialist	Security Management Specialists	"Conduct security assessments for organizations, and design security systems and processes. May specialize in areas such as physical security or the safety of employees and facilities."		https://www.bls.gov/oes/current/oes131199.htm	Sam Smith|Oliver He			
OCCO:13203100	budget analyst	Class	budget analyst (broad)	Budget Analysts	"Examine budget estimates for completeness, accuracy, and conformance with procedures and regulations. Analyze budgeting and accounting reports."		https://www.bls.gov/oes/current/oes132031.htm	Sam Smith|Oliver He			
OCCO:13204100	credit analyst	Class	credit analyst (broad)	Credit Analysts	Analyze credit data and financial statements of individuals or firms to determine the degree of risk involved in extending credit or lending money. Prepare reports with credit information for use in decisionmaking.		https://www.bls.gov/oes/current/oes132041.htm	Sam Smith|Oliver He			
OCCO:13205200	personal financial advisor	Class	financial analyst or advisor	Personal Financial Advisors	"Advise clients on financial plans using knowledge of tax and investment strategies, securities, insurance, pension plans, and real estate. Duties include assessing clients' assets, liabilities, cash flow, insurance coverage, tax status, and financial objectives. May also buy and sell financial assets for clients."		https://www.bls.gov/oes/current/oes132052.htm	Sam Smith|Oliver He			
OCCO:13205300	insurance underwriter	Class	financial analyst or advisor	Insurance Underwriters	Review individual applications for insurance to evaluate degree of risk involved and determine acceptance of applications.		https://www.bls.gov/oes/current/oes132053.htm	Sam Smith|Oliver He			
OCCO:13206100	financial examiner	Class	financial examiner (broad)	Financial Examiners	"Enforce or ensure compliance with laws and regulations governing financial and securities institutions and financial and real estate transactions. May examine, verify, or authenticate records."		https://www.bls.gov/oes/current/oes132061.htm	Sam Smith|Oliver He			
OCCO:13207100	credit counselor	Class	credit counselor or loan officer	Credit Counselors	"Advise and educate individuals or organizations on acquiring and managing debt. May provide guidance in determining the best type of loan and explain loan requirements or restrictions. May help develop debt management plans or student financial aid packages. May advise on credit issues, or provide budget, mortgage, bankruptcy, or student financial aid counseling."		https://www.bls.gov/oes/current/oes132071.htm	Sam Smith|Oliver He			
OCCO:13207200	loan officer	Class	credit counselor or loan officer	Loan Officers	"Evaluate, authorize, or recommend approval of commercial, real estate, or credit loans. Advise borrowers on financial status and payment methods. Includes mortgage loan officers and agents, collection analysts, loan servicing officers, loan underwriters, and payday loan officers."		https://www.bls.gov/oes/current/oes132072.htm	Sam Smith|Oliver He			
OCCO:13208100	"tax examiner or collector, or revenue agent"	Class	"tax examiner, collector or preparer, or revenue agent"	"Tax Examiners and Collectors, and Revenue Agents"	Determine tax liability or collect taxes from individuals or business firms according to prescribed laws and regulations.		https://www.bls.gov/oes/current/oes132081.htm	Sam Smith|Oliver He			
OCCO:13208200	tax preparer	Class	"tax examiner, collector or preparer, or revenue agent"	Tax Preparers	Prepare tax returns for individuals or small businesses.		https://www.bls.gov/oes/current/oes132082.htm	Sam Smith|Oliver He			
OCCO:13209901	financial quantitative analyst	Class	miscellaneous financial specialist	Financial Quantitative Analysts	"Develop quantitative techniques to inform securities investing, equities investing, pricing, or valuation of financial instruments. Develop mathematical or statistical models for risk management, asset optimization, pricing, or relative value analysis."		https://www.bls.gov/oes/current/oes132099.htm	Sam Smith|Oliver He			
OCCO:13209904	"fraud examiner, investigator or analyst"	Class	miscellaneous financial specialist	"Fraud Examiners, Investigators and Analysts"	"Obtain evidence, take statements, produce reports, and testify to findings regarding resolution of fraud allegations. May coordinate fraud detection and prevention activities."		https://www.bls.gov/oes/current/oes132099.htm	Sam Smith|Oliver He			
OCCO:15121100	computer systems analyst	Class	computer or information analyst	Computer Systems Analysts	"Analyze science, engineering, business, and other data processing problems to develop and implement solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions, improve existing computer systems, and review computer system capabilities, workflow, and schedule limitations. May analyze or recommend commercially available software."		https://www.bls.gov/oes/current/oes151211.htm	Sam Smith|Oliver He			
OCCO:15121200	information security analyst	Class	computer or information analyst	Information Security Analysts	"Plan, implement, upgrade, or monitor security measures for the protection of computer networks and information. Assess system vulnerabilities for security risks and propose and implement risk mitigation strategies. May ensure appropriate security controls are in place that will safeguard digital files and vital electronic infrastructure. May respond to computer security breaches and viruses."		https://www.bls.gov/oes/current/oes151212.htm	Sam Smith|Oliver He			
OCCO:15122100	computer or information research scientist	Class	computer or information research scientist (broad)	Computer and Information Research Scientists	"Conduct research into fundamental computer and information science as theorists, designers, or inventors. Develop solutions to problems in the field of computer hardware and software."		https://www.bls.gov/oes/current/oes151221.htm	Sam Smith|Oliver He			
OCCO:15123100	computer network support specialist	Class	computer support specialist	Computer Network Support Specialists	"Analyze, test, troubleshoot, and evaluate existing network systems, such as local area networks (LAN), wide area networks (WAN), cloud networks, servers, and other data communications networks. Perform network maintenance to ensure networks operate correctly with minimal interruption."		https://www.bls.gov/oes/current/oes151231.htm	Sam Smith|Oliver He			
OCCO:15123200	computer user support specialist	Class	computer support specialist	Computer User Support Specialists	"Provide technical assistance to computer users. Answer questions or resolve computer problems for clients in person, via telephone, or electronically. May provide assistance concerning the use of computer hardware and software, including printing, installation, word processing, electronic mail, and operating systems."		https://www.bls.gov/oes/current/oes151232.htm	Sam Smith|Oliver He			
OCCO:15124100	computer network architect	Class	database or network administrator or architect	Computer Network Architects	"Design and implement computer and information networks, such as local area networks (LAN), wide area networks (WAN), intranets, extranets, and other data communications networks. Perform network modeling, analysis, and planning, including analysis of capacity needs for network infrastructures. May also design network and computer security measures. May research and recommend network and data communications hardware and software."		https://www.bls.gov/oes/current/oes151241.htm	Sam Smith|Oliver He			
OCCO:15124101	telecommunications engineering specialist	Class	database or network administrator or architect	Telecommunications Engineering Specialists	"Design or configure wired, wireless, and satellite communications systems for voice, video, and data services. Supervise installation, service, and maintenance."		https://www.bls.gov/oes/current/oes151241.htm	Sam Smith|Oliver He			
OCCO:15124200	database administrator	Class	database or network administrator or architect	Database Administrators	"Administer, test, and implement computer databases, applying knowledge of database management systems. Coordinate changes to computer databases. Identify, investigate, and resolve database performance issues, database capacity, and database scalability. May plan, coordinate, and implement security measures to safeguard computer databases."		https://www.bls.gov/oes/current/oes151242.htm	Sam Smith|Oliver He			
OCCO:15124300	database architect	Class	database or network administrator or architect	Database Architects	"Design strategies for enterprise databases, data warehouse systems, and multidimensional networks. Set standards for database operations, programming, query processes, and security. Model, design, and construct large relational databases or data warehouses. Create and optimize data models for warehouse infrastructure and workflow. Integrate new systems with existing warehouse structure and refine system performance and functionality."		https://www.bls.gov/oes/current/oes151243.htm	Sam Smith|Oliver He			
OCCO:15124301	data warehousing specialist	Class	database or network administrator or architect	Data Warehousing Specialists	"Design, model, or implement corporate data warehousing activities. Program and configure warehouses of database information and provide support to warehouse users."		https://www.bls.gov/oes/current/oes151243.htm	Sam Smith|Oliver He			
